adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
kernels_vllm_recompute_w_u_fwd_kernel.ttadapter,False,False,False,60160,60160,60160,7.34375,7.34375,7.34375,True,True,0,0,True,
kernels_vllm_rejection_greedy_sample_spec_len_1_triton.ttadapter,False,False,False,13312,13312,13312,1.625,1.625,1.625,True,True,0,0,True,
kernels_vllm_rejection_random_sample_kernel.ttadapter,False,False,False,256,256,256,0.03125,0.03125,0.03125,True,True,0,0,True,
kernels_vllm_sample_recovered_tokens_kernel.ttadapter,False,False,False,5888,5888,5888,0.71875,0.71875,0.71875,True,True,0,0,True,
kernels_vllm_solve_tril_16x16_kernel.ttadapter,False,False,False,96768,96768,96768,11.8125,11.8125,11.8125,True,True,0,0,True,
layernorm_bench.ttadapter,False,False,False,328192,328192,328192,40.0625,40.0625,40.0625,True,True,0,0,True,
python_tutorial_02-fused-softmax.ttadapter,False,False,False,51712,51712,51712,6.3125,6.3125,6.3125,True,True,0,0,True,
python_tutorial_03-matrix-multiplication.ttadapter,False,False,False,560128,560128,560128,68.375,68.375,68.375,True,True,0,0,True,
python_tutorial_04-low-memory-dropout.ttadapter,False,False,False,98560,98560,98560,12.03125,12.03125,12.03125,True,True,0,0,True,
python_tutorial_05-layer-norm.ttadapter,False,False,False,1442304,1442304,1442304,176.0625,176.0625,176.0625,True,True,0,0,True,
python_tutorial_06-fused-attention.ttadapter,False,False,False,661760,661760,661760,80.78125,80.78125,80.78125,True,True,0,0,True,
python_tutorial_08-grouped-gemm.ttadapter,False,False,False,262144,262144,262144,32.0,32.0,32.0,True,True,0,0,True,
python_tutorial_09-persistent-matmul.ttadapter,False,False,False,1572864,1572864,1572864,192.0,192.0,192.0,True,True,0,0,True,
python_tutorial_10-block-scaled-matmul.ttadapter,False,False,False,60160,60160,60160,7.34375,7.34375,7.34375,True,True,0,0,True,
rmsnorm_bench.ttadapter,False,False,False,164096,164096,164096,20.03125,20.03125,20.03125,True,True,0,0,True,
s0_original_baseline_5800us.ttadapter,False,False,False,546048,546048,546048,66.65625,66.65625,66.65625,True,True,0,0,True,
s1_exp3_BLOCK_V_512_5392us.ttadapter,False,False,False,808192,808192,808192,98.65625,98.65625,98.65625,True,True,0,0,True,
s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter,False,False,False,1070336,1070336,1070336,130.65625,130.65625,130.65625,True,True,0,0,True,
s4_exp10_workspace_sv_bf16_4294us.ttadapter,False,False,False,1202176,1202176,1202176,146.75,146.75,146.75,True,True,0,0,True,
s5_exp15_hivm_auto_cv_balance_4235us.ttadapter,False,False,False,863744,863744,863744,105.4375,105.4375,105.4375,True,True,0,0,True,
s7_exp27_shared_kv_nope_SSA_3580us.ttadapter,False,False,False,862464,862464,862464,105.28125,105.28125,105.28125,True,True,0,0,True,
s8_exp28_hoist_Q_loads_3589us.ttadapter,False,False,False,862464,862464,862464,105.28125,105.28125,105.28125,True,True,0,0,True,
softmax_bench.ttadapter,False,False,False,100864,100864,100864,12.3125,12.3125,12.3125,True,True,0,0,True,
triton.language.abs.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.advance.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.and.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,
triton.language.arange.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.argmax.ttadapter,False,False,False,4864,4864,4864,0.59375,0.59375,0.59375,True,True,0,0,True,
triton.language.argmin.ttadapter,False,False,False,4864,4864,4864,0.59375,0.59375,0.59375,True,True,0,0,True,
triton.language.associative_scan.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.assume.ttadapter,False,False,False,16640,16640,16640,2.03125,2.03125,2.03125,True,True,0,0,True,
triton.language.atomic_add.ttadapter,False,False,False,16384,16384,16384,2.0,2.0,2.0,True,True,0,0,True,
triton.language.atomic_and.ttadapter,False,False,False,32768,32768,32768,4.0,4.0,4.0,True,True,0,0,True,
triton.language.atomic_cas.ttadapter,False,False,False,81920,81920,81920,10.0,10.0,10.0,True,True,0,0,True,
triton.language.atomic_max.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.atomic_min.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
